sentence,yr,alt_year
"By several estimates, lactose intolerance, LI, affects the majority of the world´s population (Andersson, Dotevall, Dahlqvist, & Walan, 1970; Itan, Jones, Ingram, Swallow, & Thomas, 2010)",2010,2010
". Lactase deficient individuals do not always experience symptoms after consuming lactose, while those with adequate lactase activity are not always symptom-free (Vesa, Korpela, & Sahi, 1996)",1996,1996
". Apparently, lactase activity is not the only factor contributing to LI. Evidence from diverse experimental and clinical paradigms suggests that individual biology is but one determinant of physiological responses to lactose intake (Shaukat et al., 2010)",2010,2010
". 
The lactase enzyme cleaves lactose present in mammalian milk into monosaccharides for uptake from the intestinal lumen into the bloodstream. This enzyme is abundant in newborns and, decreasing with age, persists into adulthood to varying degrees (Harrington & Mayberry, 2008)",2008,2008
". When maldigestion is paired with symptoms following a lactose challenge, a diagnosis of LI is deemed appropriate (Gasbarrini et al., 2009)",2009,2009
". 
Research into the rates of LNP documents a wide variation in global and ethnic prevalence. Whereas in the United States the prevalence is 15% among Caucasians, 53% among Mexican-Americans, and 80% in Blacks, proportions reach almost 100% in certain Asian countries (Sahi, 1994; Scrimshaw & Murray, 1988)",1988,1994
". It is crucial to remember, however, that prevalence estimates are for LNP, not LI. Research in Sicily, for example, demonstrates that, among a random sample of 323 from the general population, 32% were LNP but tolerant, whereas only 4% were LNP and intolerant (Carroccio, Montalto, Cavera, & Notarbatolo, 1998)",1998,1998
". Regardless of prevalence, the diagnosis of LI is only as accurate as the supporting clinical tests practitioners typically employ. 
Clinicians frequently assess LNP using the hydrogen breath test — HBT— wherein they measure the amount of hydrogen in expired air following the consumption of a standardized lactose challenge. Other assays, such as blood glucose — also known as the lactose tolerance test, or LTT — stool acidity, or internal biopsy analyses are more invasive, and are therefore less common (Hermans, Brummer, Ruijgers, & Stockbrugger, 1997; Scrimshaw & Murray, 1988; Vesa, Marteau, & Korpela, 2000)",2000,2000
". The most recent method involves genetic testing for single nucleotide polymorphisms correlated with a deficiency in the lactase enzyme (N. S. Enattah et al., 2002)",2002,2002
", While genetic and phenotypic  — HBT and LTT — test results are highly correlated, with all offering similar diagnostic value in terms of hypolactasia, they do not provide a reliable link to symptoms and, therefore, LI (Di Stefano et al., 2009; Marton, Xue, & Szilagyi, 2012)",2012,2012
". 
Many physicians are aware of the lack of direct relationship between LNP-based maldigestion and symptoms, and may diagnose LI based solely on patient interviews and self-reported symptoms. These methods are not wholly reliable due to their singular dependence on one-off subjective accounts, and the likelihood of falsely attributing symptoms to lactose consumption (Di Stefano et al., 2009; Suarez, Savaiano, Arbisi, & Levitt, 1997)",1997,2009
". Whether lactase persistent or non-persistent, people who p exaggerate the severity of domestic symptoms relative to those reported in a clinical setting (Suarez et al., 1997)",1997,1997
